Landscape,id,SurveyYear,WBI,HHwealth,Village,Lat,Long,vlgLat,vlgLong,Arrival,Livelihood1,Livelihood2,Livelihood3,Livelihood4,Gender,age,Ethnicity,indig,HHsize,BenefPa,BenefProject,HhTypeControl,female
ituri,688,2015,.4112637341022491,,masiliko,1.35331,29.23822,1.352186,29.238846,,agriculture,,,,man,,autochtones,1,9,,,0,0
ituri,3482,2019,.3174070417881012,116.0070114135742,bandisende,1.353336,28.758369,1.3578314,28.753626,1986,agriculture,hunt,,,woman,33,pygmy,1,3,0,0,1,1
ituri,2028,2017,.4984600245952606,156.7009124755859,masiliko,1.353402,29.234613,1.352186,29.238846,2013,agriculture,woodworking,,,man,37,bantou,0,4,,0,0,0
ituri,649,2015,.3315828442573547,,masiliko,1.35348,29.23479,1.352186,29.238846,,agriculture,,,,man,35,autochtones,1,4,,,0,0
ituri,1285,2015,.4802396893501282,,mania,1.35356,29.15257,1.3505521,29.155651,,agriculture,,,,man,30,bantou,0,5,,,0,0
ituri,2459,2017,.6708325743675232,231.600830078125,mandima,1.353625,29.071878,1.3497698,29.074991,1993,agriculture,business,,,man,60,bantou,0,8,0,0,0,0
ituri,2458,2017,.5047726035118103,88.84110260009766,mandima,1.353625,29.071878,1.3497698,29.074991,2005,agriculture,smallbusiness,,,man,32,bantou,0,5,0,0,0,0
lac_tele,5556,2018,.3959946930408478,6529562.5,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,1976,electricity,business,agriculture,,male,51,babole,0,11,1,0,1,0
lac_tele,172,2015,.7016230821609497,374300,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,1982,agriculture,sewing,fishing,,male,57,Babole,0,7,,,,0
lac_tele,171,2015,.8260869979858398,755200,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,1991,agriculture,hunt,fishing,,male,46,Nzobo,0,5,,,,0
lac_tele,170,2015,.678748607635498,324950,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,1999,agriculture,sewing,teacher,,female,52,Bambomba,0,4,,,,1
lac_tele,5404,2018,.3620522916316986,2637052.75,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,1963,agriculture,sewing,,,female,55,bambomba,0,3,0,0,0,1
lac_tele,5642,2018,.2910818159580231,499637.5,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,1976,agriculture,fishing,,,male,42,bambomba,0,8,0,0,0,0
lac_tele,5647,2018,.2879961431026459,360250,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,1982,fishbushmeattrade,business,,,female,41,moye,0,9,1,1,0,1
lac_tele,5603,2018,.314375638961792,2387125,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,2010,fishbushmeattrade,smallbusiness,alcoholicdistillation,,female,45,bambomba,0,6,1,1,0,1
lac_tele,157,2015,.4194768965244293,398450,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,,agriculture,business,,,female,42,Bambomba,0,4,,,,1
lac_tele,166,2015,.6220670938491821,619000,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,1955,agriculture,mecanic,fishing,,male,49,Batanga,0,4,,,,0
lac_tele,5644,2018,.2751089334487915,384625,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,1988,fishing,hunt,agriculture,,male,30,bambomba,0,6,1,1,0,0
lac_tele,5649,2018,.3519482314586639,3933965.25,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,1989,agriculture,livestock,,,male,49,bambomba,0,6,0,1,1,0
lac_tele,5602,2018,.2262826859951019,938812.5,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,1962,fishing,agriculture,fishbushmeattrade,alcoholicdistillation,male,56,bambomba,0,4,1,1,0,0
lac_tele,158,2015,.484063595533371,202850,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,,business,fishing,,,female,69,Babole,0,4,,,,1
lac_tele,155,2015,.6177781224250793,991800,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,,agriculture,business,,,male,47,Bambomba,0,3,,,,0
lac_tele,161,2015,.4731309413909912,152600,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,,agriculture,hunt,fishing,,male,46,Bambomba,0,5,,,,0
lac_tele,162,2015,.6146665811538696,340600,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,2005,fishing,,,,male,53,batanga,0,4,,,,0
lac_tele,5640,2018,.3313770592212677,3150587.5,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,1966,carpenter,,,,male,52,bambomba,0,2,0,1,0,0
lac_tele,152,2015,.5815322399139404,295000,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,,agriculture,hunt,fishing,,male,39,Bambomba,0,9,,,,0
lac_tele,153,2015,.4488268494606018,151150,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,,agriculture,artisan,picking,,male,46,Autochtone,1,7,,,,0
lac_tele,5641,2018,.2767425179481506,2715750,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,1956,agriculture,,,,female,62,bambomba,0,8,0,0,0,1
lac_tele,5555,2018,.3481365144252777,11044375,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,2011,employee,fishing,agriculture,,male,33,bambomba,0,10,1,1,0,0
lac_tele,159,2015,.5974265933036804,252950,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,,business,,,,female,39,Bambomba,0,2,,,,1
lac_tele,163,2015,.4729627370834351,839200,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,1962,agriculture,hunt,fishing,,male,27,Babole,0,4,,,,0
