landscape,surveyyear,id,nr,nrcollect
lac_tele,2018,5452,fish,0
lac_tele,2018,5453,bushmeat,0
lac_tele,2018,5453,fish,0
lac_tele,2018,5453,gnetum,0
lac_tele,2018,5453,firewood,1
lac_tele,2018,5453,marantacea,0
lac_tele,2018,5454,firewood,2
lac_tele,2018,5454,marantacea,0
lac_tele,2018,5454,gnetum,0
lac_tele,2018,5454,fish,0
lac_tele,2018,5454,bushmeat,0
lac_tele,2018,5455,fish,7
lac_tele,2018,5455,bushmeat,1
lac_tele,2018,5455,marantacea,3
lac_tele,2018,5455,gnetum,4
lac_tele,2018,5455,firewood,3
lac_tele,2018,5456,firewood,2
lac_tele,2018,5456,gnetum,0
lac_tele,2018,5456,bushmeat,3
lac_tele,2018,5456,fish,5
lac_tele,2018,5456,marantacea,0
lac_tele,2018,5457,gnetum,0
lac_tele,2018,5457,fish,2
lac_tele,2018,5457,marantacea,0
lac_tele,2018,5457,bushmeat,0
lac_tele,2018,5457,firewood,0
lac_tele,2018,5458,marantacea,0
lac_tele,2018,5458,bushmeat,0
lac_tele,2018,5458,gnetum,0
lac_tele,2018,5458,fish,6
lac_tele,2018,5458,firewood,3
lac_tele,2018,5459,gnetum,0
lac_tele,2018,5459,marantacea,0
lac_tele,2018,5459,firewood,2
lac_tele,2018,5459,bushmeat,0
lac_tele,2018,5459,fish,4
lac_tele,2018,5460,gnetum,2
lac_tele,2018,5460,firewood,3
lac_tele,2018,5460,marantacea,2
lac_tele,2018,5460,fish,4
lac_tele,2018,5460,bushmeat,0
lac_tele,2018,5461,firewood,2
lac_tele,2018,5461,bushmeat,0
lac_tele,2018,5461,gnetum,0
lac_tele,2018,5461,marantacea,0
lac_tele,2018,5461,fish,3
lac_tele,2018,5462,fish,0
lac_tele,2018,5462,marantacea,0
lac_tele,2018,5462,firewood,0
lac_tele,2018,5462,gnetum,0
lac_tele,2018,5462,bushmeat,0
lac_tele,2018,5463,marantacea,0
lac_tele,2018,5463,gnetum,0
lac_tele,2018,5463,firewood,1
lac_tele,2018,5463,bushmeat,0
lac_tele,2018,5463,fish,0
lac_tele,2018,5464,fish,2
lac_tele,2018,5464,bushmeat,0
lac_tele,2018,5464,firewood,1
lac_tele,2018,5464,gnetum,1
lac_tele,2018,5464,marantacea,2
lac_tele,2018,5465,bushmeat,0
lac_tele,2018,5465,marantacea,0
lac_tele,2018,5465,firewood,2
lac_tele,2018,5465,gnetum,0
lac_tele,2018,5465,fish,4
lac_tele,2018,5466,firewood,1
lac_tele,2018,5466,marantacea,0
lac_tele,2018,5466,fish,0
lac_tele,2018,5466,gnetum,0
lac_tele,2018,5466,bushmeat,0
lac_tele,2018,5467,marantacea,0
lac_tele,2018,5467,bushmeat,0
lac_tele,2018,5467,firewood,0
lac_tele,2018,5467,gnetum,0
lac_tele,2018,5467,fish,0
lac_tele,2018,5468,marantacea,0
lac_tele,2018,5468,gnetum,0
lac_tele,2018,5468,fish,0
lac_tele,2018,5468,firewood,1
lac_tele,2018,5468,bushmeat,0
lac_tele,2018,5469,bushmeat,1
lac_tele,2018,5469,marantacea,0
lac_tele,2018,5469,fish,7
lac_tele,2018,5469,gnetum,0
lac_tele,2018,5469,firewood,3
lac_tele,2018,5470,firewood,1
