landscape,id,surveyyear,nr,nrcollect
ndoki,5279,2018,firewood,4
ndoki,5279,2018,bushmeat,0
ndoki,5279,2018,marantaceas,0
ndoki,5279,2018,liana,0
ndoki,5279,2018,gnetum,1
ndoki,5280,2018,firewood,5
ndoki,5280,2018,bushmeat,0
ndoki,5280,2018,marantaceas,0
ndoki,5280,2018,gnetum,1
ndoki,5280,2018,liana,1
ndoki,5281,2018,bushmeat,0
ndoki,5281,2018,liana,0
ndoki,5281,2018,gnetum,0
ndoki,5281,2018,firewood,5
ndoki,5281,2018,marantaceas,1
ndoki,5282,2018,marantaceas,0
ndoki,5282,2018,bushmeat,0
ndoki,5282,2018,gnetum,2
ndoki,5282,2018,firewood,4
ndoki,5282,2018,liana,0
ndoki,5283,2018,bushmeat,0
ndoki,5283,2018,marantaceas,0
ndoki,5283,2018,firewood,5
ndoki,5283,2018,gnetum,1
ndoki,5283,2018,liana,0
ndoki,5284,2018,liana,0
ndoki,5284,2018,gnetum,0
ndoki,5284,2018,marantaceas,0
ndoki,5284,2018,firewood,5
ndoki,5284,2018,bushmeat,0
ndoki,5285,2018,firewood,5
ndoki,5285,2018,gnetum,2
ndoki,5285,2018,marantaceas,0
ndoki,5285,2018,liana,0
ndoki,5285,2018,bushmeat,0
ndoki,5286,2018,firewood,4
ndoki,5286,2018,gnetum,0
ndoki,5286,2018,liana,0
ndoki,5286,2018,bushmeat,0
ndoki,5286,2018,marantaceas,0
ndoki,5287,2018,marantaceas,0
ndoki,5287,2018,firewood,6
ndoki,5287,2018,liana,3
ndoki,5287,2018,gnetum,2
ndoki,5287,2018,bushmeat,0
ndoki,5288,2018,firewood,6
ndoki,5288,2018,gnetum,3
ndoki,5288,2018,liana,1
ndoki,5288,2018,bushmeat,0
ndoki,5288,2018,marantaceas,1
ndoki,5289,2018,firewood,6
ndoki,5289,2018,bushmeat,0
ndoki,5289,2018,liana,0
ndoki,5289,2018,marantaceas,1
ndoki,5289,2018,gnetum,3
ndoki,5290,2018,marantaceas,0
ndoki,5290,2018,bushmeat,0
ndoki,5290,2018,gnetum,3
ndoki,5290,2018,firewood,6
ndoki,5290,2018,liana,0
ndoki,5291,2018,marantaceas,0
ndoki,5291,2018,bushmeat,0
ndoki,5291,2018,firewood,6
ndoki,5291,2018,liana,2
ndoki,5291,2018,gnetum,1
ndoki,5292,2018,liana,1
ndoki,5292,2018,bushmeat,0
ndoki,5292,2018,firewood,7
ndoki,5292,2018,gnetum,5
ndoki,5292,2018,marantaceas,2
ndoki,5293,2018,liana,4
ndoki,5293,2018,firewood,5
ndoki,5293,2018,gnetum,2
ndoki,5293,2018,marantaceas,1
ndoki,5293,2018,bushmeat,0
ndoki,5294,2018,gnetum,4
ndoki,5294,2018,firewood,5
ndoki,5294,2018,marantaceas,5
ndoki,5294,2018,liana,2
ndoki,5294,2018,bushmeat,1
ndoki,5295,2018,liana,2
