landscape,surveyyear,id,gs,necessary,have,quantity,price
ndoki,2018,5204,equipped pharmacy village,1,0,0,null
ndoki,2018,5204,adult learning,0,0,0,null
ndoki,2018,5204,fishing net,1,1,5,null
ndoki,2018,5204,meal 2 day,1,1,0,null
ndoki,2018,5204,moto,0,0,0,null
ndoki,2018,5204,women care provided women,1,0,0,null
ndoki,2018,5204,money school,1,1,0,null
ndoki,2018,5204,sport ground,1,1,0,null
ndoki,2018,5204,tv,0,0,0,null
ndoki,2018,5204,sewing machine,0,0,0,null
ndoki,2018,5205,access employment,1,0,0,null
ndoki,2018,5205,table chairs,1,0,0,null
ndoki,2018,5205,equipped pharmacy village,1,0,0,null
ndoki,2018,5205,hurricane lamp,1,1,2,null
ndoki,2018,5205,protein once week,1,1,0,null
ndoki,2018,5205,money school,1,0,0,null
ndoki,2018,5205,gun,1,1,1,null
ndoki,2018,5205,generator,1,0,0,null
ndoki,2018,5205,cookstove,0,0,0,null
ndoki,2018,5205,work without discrimination,1,0,0,null
ndoki,2018,5205,drinking water 15min,1,0,0,null
ndoki,2018,5205,chicken,1,1,30,null
ndoki,2018,5205,brick house metal roof,0,0,0,null
ndoki,2018,5205,moto,0,0,0,null
ndoki,2018,5205,pot,1,1,2,null
ndoki,2018,5205,jewelry,0,0,0,null
ndoki,2018,5205,natural resources 1h,1,1,0,null
ndoki,2018,5205,sheep breeding,1,1,7,null
ndoki,2018,5205,fishing net,1,1,5,null
ndoki,2018,5205,sewing machine,0,0,0,null
ndoki,2018,5205,freezer,0,0,0,null
ndoki,2018,5205,women care provided women,1,0,0,null
ndoki,2018,5205,sport ground,1,1,0,null
ndoki,2018,5205,field half ha,1,1,3,null
ndoki,2018,5205,meal 2 day,1,1,0,null
ndoki,2018,5205,jerrycan 25l,1,1,2,null
ndoki,2018,5205,adult learning,1,0,0,null
ndoki,2018,5205,lance,1,1,1,null
ndoki,2018,5205,tv,1,0,0,null
ndoki,2018,5205,bed and mattress,1,1,2,null
ndoki,2018,5205,mosquito net,1,1,1,null
ndoki,2018,5205,phone,0,0,0,null
ndoki,2018,5205,new clothes,1,1,0,null
ndoki,2018,5205,machete,1,1,1,null
ndoki,2018,5205,women decision village,1,1,0,null
ndoki,2018,5205,hairdresser,0,0,0,null
ndoki,2018,5205,canoe,1,1,2,null
ndoki,2018,5206,pot,1,1,3,null
ndoki,2018,5206,mosquito net,1,1,2,null
ndoki,2018,5206,protein once week,1,1,0,null
ndoki,2018,5206,women decision village,1,1,0,null
